scientists,10.229
have,4.935
used,5.314
genetically,12.588
reprogrammed,12.975
bacteria,12.040
to,3.812
destroy,7.057
tumors,5.800
in,3.254
mice,9.344
.,1.459
the,1.713
innovative,11.163
method,8.537
CD,5.108
day,6.453
may,6.285
lead,5.798
to,1.410
cancer,9.633
therapies,15.569
that,4.593
treat,12.751
the,2.853
disease,8.044
more,6.994
precisely,12.969
",",2.572
without,8.031
the,2.693
side,7.449
effects,8.135
of,2.424
conventional,10.686
drugs,10.242
.,1.414
a,3.822
cluster,9.328
of,2.323
police,8.084
suicides,13.140
has,4.703
prompted,8.571
leaders,12.108
to,3.321
plead,12.261
with,4.121
troubled,10.160
officers,7.455
to,3.999
seek,7.093
help,9.191
.,2.634
but,6.074
resistance,11.976
is,3.448
strong,7.878
.,2.633
positional,15.312
vertigo,12.566
is,5.323
a,2.425
common,6.224
type,6.068
of,1.137
dizziness,8.415
that,5.180
can,5.165
be,1.292
treated,6.581
with,2.376
a,2.600
simple,7.280
maneuver,12.236
.,1.820
vertigo,11.822
is,3.776
an,4.011
illusory,13.889
sensation,11.109
of,1.801
motion,9.901
that,5.008
is,3.751
often,4.635
accompanied,8.397
by,1.016
intense,8.235
nausea,13.617
.,1.525
when,5.162
new,6.587
breast,11.402
cancer,5.062
drugs,11.411
come,8.222
to,3.081
market,9.265
",",1.990
there,4.689
is,1.812
little,7.587
data,9.615
to,4.403
indicate,7.768
whether,8.255
they,3.212
are,3.633
safe,8.660
or,5.236
effective,7.192
in,3.353
men,8.132
.,1.344
some,5.620
new,5.683
drugs,11.373
are,4.081
approved,9.238
only,6.569
for,4.075
women,8.060
.,1.225
polio,15.697
is,3.653
an,4.009
infectious,11.675
disease,8.347
that,4.055
can,4.703
spread,7.496
rapidly,8.966
and,4.337
mainly,8.426
affects,10.469
young,8.314
children,5.308
.,1.234
it,3.560
can,5.555
cause,4.801
muscle,11.494
weakness,11.445
",",2.865
paralysis,16.400
and,1.244
",",7.348
on,4.285
rare,9.353
occasions,8.142
",",2.681
it,4.690
can,5.892
be,1.340
fatal,8.062
.,1.137
in,2.745
general,6.830
",",0.633
mammalian,11.533
hearts,10.049
are,4.215
quite,7.364
malleable,10.436
.,1.155
they,4.436
change,10.940
in,3.791
response,6.300
to,2.486
the,2.064
demands,10.286
placed,5.683
on,1.775
them,6.797
.,0.842
a,3.822
number,4.910
of,0.876
