very,7.963
few,4.162
issues,6.603
can,1.547
bring,5.867
together,5.568
lawmakers,8.046
of,1.156
both,5.026
parties,6.505
.,0.000
animal,9.555
cruelty,12.233
is,1.756
CD,0.000
of,1.497
them,0.917
.,0.000
koalas,5.559
have,3.434
been,1.301
running,6.104
into,3.618
hard,7.820
times,4.036
.,0.000
they,3.026
have,2.214
suffered,7.155
for,3.790
years,6.442
from,2.819
habitat,9.259
destruction,9.096
",",0.436
dog,8.835
attacks,6.256
",",0.004
automobile,10.691
accidents,9.182
.,0.305
pancreatic,13.453
cancer,8.663
has,2.150
a,0.491
bad,6.809
reputation,8.384
.,0.699
it,1.168
is,0.786
a,0.980
terrible,7.411
disease,7.982
",",1.309
but,1.220
most,3.442
people,4.919
do,3.792
not,0.266
realize,7.020
there,4.977
are,0.158
ways,8.804
that,2.790
early,5.648
detection,10.009
can,2.515
help,4.881
.,3.050
some,4.696
nutrition,13.914
experts,6.936
say,8.179
eggs,10.209
are,0.874
good,5.973
for,1.996
you,5.636
",",0.006
even,2.339
though,1.609
they,1.529
are,1.201
high,6.117
in,1.960
cholesterol,12.480
.,2.245
others,7.610
are,1.053
sure,7.538
they,5.439
are,1.202
bad,7.879
.,1.168
experts,6.944
generally,7.561
agree,4.705
that,0.642
watching,6.353
a,1.740
lot,6.003
of,0.902
television,7.068
is,6.076
bad,7.868
for,2.403
children,6.671
.,0.000
now,4.955
a,1.990
new,3.420
study,6.888
suggests,6.230
it,3.264
may,1.943
not,2.534
be,2.160
very,4.431
good,4.266
for,2.217
adults,6.075
",",0.007
either,7.935
.,4.086
legislators,9.976
and,0.769
gun,7.917
safety,8.191
advocates,9.948
often,3.512
focus,7.687
on,0.768
how,6.215
guns,6.061
are,0.923
purchased,7.643
.,2.542
but,5.605
many,5.562
lives,6.780
could,1.753
be,1.579
saved,6.314
",",1.830
especially,5.255
among,6.717
children,7.207
",",0.004
if,4.378
they,1.487
looked,6.263
more,3.657
at,5.045
how,7.064
they,1.557
are,1.201
stored,7.738
.,1.275
in,1.757
general,6.384
",",0.002
any,6.539
exercise,8.985
improves,8.752
our,6.625
health,6.829
.,0.197
but,5.605
a,3.220
wealth,9.432
of,0.646
recent,7.854
science,8.071
and,0.171
personal,6.999
experience,6.259
indicate,6.294
that,0.603
different,7.650
people,4.851
can,1.921
respond,7.095
to,1.926
similar,7.473
exercise,9.590
routines,9.441
in,2.130
different,5.974
ways,5.195
.,0.000
when,3.290
new,4.955
breast,9.614
cancer,2.990
drugs,8.764
come,6.411
to,2.072
market,8.690
",",0.005
there,1.153
is,0.180
little,6.180
data,8.768
to,2.947
indicate,6.926
whether,6.895
they,1.498
are,1.201
safe,6.952
or,2.378
effective,6.333
in,1.703
men,6.208
.,0.000
some,4.696
new,4.051
drugs,8.906
are,0.924
approved,7.941
only,4.687
for,2.721
women,6.610
.,0.001
an,4.883
extensive,5.014
study,7.092
confirms,9.241
that,2.494
red,7.710
meat,9.342
might,4.683
not,0.993
be,2.158
that,4.415
bad,8.169
for,4.915
you,5.461
.,0.000
but,5.605
it,1.054
is,0.842
bad,8.222
for,2.957
the,0.490
planet,7.519
",",0.876
with,2.914
chicken,11.075
and,0.161
pork,10.548
less,8.753
harmful,9.692
than,2.728
beef,6.450
.,0.851
the,0.789
ground,6.427
around,8.908
the,0.316
building,6.925
slopes,8.520
away,6.411
.,0.452
that,5.345
allows,6.112
the,1.070
classroom,10.323
windows,8.914
to,1.136
be,2.086
low,6.814
enough,4.426
for,3.383
children,6.336
to,1.673
see,5.449
out,2.851
while,4.148
still,5.226
being,2.941
high,6.050
above,8.384
the,0.348
ground,6.276
.,0.000
farmers,8.898
and,0.730
plant,7.899
breeders,11.550
are,0.943
in,3.494
a,1.743
race,7.345
against,5.172
time,5.740
.,0.000
the,0.789
world,5.579
population,7.145
is,0.783
growing,6.580
rapidly,6.051
",",0.653
requiring,7.041
ever,7.811
more,1.120
food,7.001
",",2.205
but,1.092
the,0.802
amount,7.391
of,0.541
cultivable,13.396
land,2.193
is,0.485
limited,6.237
.,1.859
CD,0.000
benefit,10.898
of,0.943
discovery,8.448
is,0.854
that,3.493
you,5.397
get,4.065
to,2.882
name,7.625
the,0.827
things,7.063
you,7.579
discovered,7.060
.,2.327
astronomy,12.320
is,2.076
blessed,11.592
in,1.998
this,3.456
regard,7.338
.,0.577
the,0.789
overwhelming,8.296
majority,4.536
of,0.191
snails,9.976
live,8.028
in,2.725
shells,7.151
that,3.198
coil,12.081
to,2.576
the,2.097
right,6.614
.,1.073
but,5.605
occasionally,6.687
some,3.337
are,6.807
born,5.395
with,3.826
shells,7.847
that,3.525
turn,7.021
the,1.105
other,3.956
way,5.719
.,0.730
california,8.172
has,3.057
positioned,9.154
itself,3.247
as,2.512
a,1.558
leader,8.249
in,2.477
the,0.390
fight,8.420
against,3.249
climate,9.531
change,3.766
.,0.159
it,1.168
leads,6.089
the,1.789
nation,7.431
by,4.660
far,6.927
in,4.077
solar,8.938
power,4.651
.,0.000
climate,10.297
change,3.938
will,5.498
inevitably,7.922
transform,6.900
the,1.327
way,6.174
the,4.410
world,5.631
produces,7.090
goods,7.625
.,0.000
farmers,8.898
who,2.285
produce,6.716
wine,8.825
grapes,9.883
",",1.761
an,3.168
especially,4.939
sensitive,7.181
crop,9.440
",",2.803
are,3.741
already,5.415
feeling,9.562
those,5.815
effects,5.887
.,0.818
the,0.789
many,6.528
whiskeys,5.139
of,0.828
japan,6.535
are,2.487
complex,7.731
and,0.155
often,4.415
expensive,5.879
.,0.000
learning,9.075
about,2.270
them,4.909
can,2.920
be,1.253
a,1.341
challenge,8.004
.,0.273
great,8.227
snow,9.380
conditions,6.161
can,1.689
make,5.002
a,0.944
ski,13.491
trip,8.009
magical,8.386
.,5.609
skiers,5.559
can,4.076
weight,11.361
the,1.416
odds,8.703
in,2.165
their,1.571
favor,8.964
by,4.038
picking,6.846
their,1.362
destinations,7.759
according,4.476
to,0.179
the,0.467
time,5.380
of,1.296
winter,8.625
.,0.000
earth,8.969
is,2.210
warming,10.752
",",1.167
and,0.477
we,3.440
know,3.716
why,4.332
.,0.288
light,8.434
is,2.254
reflected,6.925
and,4.326
absorbed,6.749
by,1.477
clouds,8.173
",",0.006
air,7.933
",",4.009
oceans,10.122
",",0.017
ice,8.598
and,0.148
land,6.482
.,2.112
nobody,8.659
ever,3.458
really,2.973
tells,5.824
you,5.442
how,2.032
to,2.190
breathe,9.362
.,2.025
you,6.058
just,3.393
know,5.814
how,5.014
to,2.324
do,4.714
it,0.638
.,0.000
imagine,8.455
an,3.851
animal,7.569
that,3.312
looks,5.246
like,2.514
a,1.341
dinosaur,8.873
",",0.618
and,0.502
you,5.352
probably,5.866
will,4.001
not,3.601
imagine,8.253
a,1.755
bat,8.380
.,0.323
but,5.605
that,3.757
may,5.124
change,6.581
.,2.830
video,8.494
games,1.830
work,6.930
hard,6.738
to,0.644
hook,10.936
players,5.814
.,0.001
designers,9.267
use,5.855
predictive,4.077
algorithms,8.801
and,0.481
principles,7.766
of,0.722
behavioral,11.142
economics,9.770
to,1.344
keep,5.477
fans,7.384
engaged,7.827
.,1.699
americans,8.501
are,2.730
feeling,8.730
better,4.278
about,5.918
the,0.291
economy,9.498
.,0.263
or,7.981
at,4.470
least,0.061
republicans,8.777
are,1.226
.,3.231
parasites,9.258
are,1.244
a,2.415
huge,6.012
force,6.606
in,2.541
the,0.390
natural,7.081
world,6.205
.,0.084
for,4.232
the,0.489
most,5.528
part,5.388
they,2.930
simply,6.676
feed,7.148
on,1.324
their,1.300
hosts,7.707
.,0.000
there,1.977
should,2.806
be,1.165
no,4.479
question,6.770
that,3.564
autistic,11.594
people,7.128
need,7.432
and,2.724
value,8.032
social,6.779
connections,7.932
.,0.000
we,5.481
all,3.272
do,7.193
.,4.430
once,5.511
upon,3.288
a,2.900
time,5.205
",",0.339
the,0.548
sky,8.000
was,0.903
everything,7.722
above,6.456
the,0.348
earth,7.552
",",2.010
which,0.152
lay,6.726
at,4.189
the,0.372
center,7.006
of,0.943
human,6.500
experience,6.791
.,0.319
the,0.789
sky,7.971
was,1.136
the,1.330
place,8.053
of,1.077
gods,7.475
.,0.093
the,0.789
abundance,8.777
of,0.160
uncontrolled,8.902
case,7.686
studies,2.709
can,1.828
give,5.344
an,3.030
impression,6.346
that,3.600
a,2.812
single,5.158
dietary,9.118
item,9.295
",",1.177
like,4.758
juice,11.489
",",2.113
is,3.126
linked,5.954
with,1.924
obesity,3.836
.,1.226
but,5.605
they,1.803
cannot,4.671
determine,6.512
cause,8.060
and,0.127
effect,8.230
.,0.449
americans,8.501
are,2.730
having,6.463
fewer,5.052
babies,9.969
.,0.665
at,3.599
first,4.161
",",0.001
researchers,6.685
thought,6.491
the,1.229
declining,7.332
fertility,10.347
rate,3.433
was,1.572
because,5.156
of,3.690
the,0.369
recession,13.669
",",0.002
but,7.459
it,1.094
kept,7.878
falling,5.028
even,5.896
as,2.919
the,0.719
economy,9.390
recovered,8.195
.,1.766
new,6.221
research,8.319
suggests,4.234
that,0.365
more,0.865
money,6.100
really,7.907
does,3.448
lead,7.782
to,1.675
a,1.897
more,1.110
satisfying,9.258
life,5.970
.,0.224
surveys,7.937
of,1.041
thousands,6.314
of,0.126
swedish,8.652
lottery,11.697
winners,7.712
have,1.938
provided,6.309
persuasive,11.002
evidence,6.233
of,2.335
this,3.405
truth,8.660
.,0.707
milan,10.304
has,3.819
no,3.180
sea,7.717
.,1.651
it,1.168
has,2.080
no,3.179
river,6.863
or,3.238
lake,8.279
",",2.044
just,5.646
a,1.075
few,2.525
ebbing,6.732
canals,7.895
.,0.000
morality,8.910
exists,5.939
only,3.208
because,5.227
we,3.875
evolved,9.365
the,1.521
capacity,8.198
to,2.663
empathize,9.494
.,2.272
and,5.415
empathy,11.362
provides,6.685
the,1.683
best,2.776
guide,9.505
to,2.124
moral,10.268
action,6.711
.,0.000
story,9.277
creates,7.366
