0	0	IN	IN	1.631198525428772	1.631198525428772
0	1	DT	DT	0.9866515398025513	0.98665154
0	2	JJ	JJ	1.4222009181976318	1.4222009
0	3	NNS	NNS	2.209599494934082	2.2095995
0	4	,	,	0.7361888885498047	0.7361889
0	5	NN	NN	2.9912943840026855	2.9912944
0	6	NNS	NNS	1.7878952026367188	1.7878952
0	7	MD	MD	3.2606544494628906	3.2606544
0	8	VB	VB	0.20585060119628906	0.2058506
0	9	DT	DT	2.0980615615844727	2.0980616
0	10	NN	NN	0.7480487823486328	0.7480488
0	11	IN	IN	0.7265167236328125	0.7265167
0	12	JJ	JJ	2.0709285736083984	2.0709286
0	13	.	.	4.349769592285156	4.3497696
1	0	PRP	PRP	2.4290122985839844	2.4290122985839844
1	1	MD	MD	3.723726272583008	3.7237263
1	2	VB	VB	0.43024110794067383	0.4302411
1	3	NNS	NNS	3.942749500274658	3.9427495
1	4	CC	CC	2.598219871520996	2.5982199
1	5	NN	NN	2.46720027923584	2.4672003
1	6	NNS	NNS	1.4914617538452148	1.4914618
1	7	IN	IN	0.9575977325439453	0.95759773
1	8	NN	NN	2.2838497161865234	2.2838497
1	9	NN	NN	2.2685394287109375	2.2685394
1	10	IN	IN	1.8041496276855469	1.8041496
1	11	NNS	NNS	2.7767372131347656	2.7767372
1	12	MD	MD	5.072284698486328	5.0722847
1	13	VB	VB	0.197998046875	0.19799805
1	14	JJ	JJ	2.5082359313964844	2.508236
1	15	NNS	NNS	1.681427001953125	1.681427
1	16	CC	CC	2.689716339111328	2.6897163
1	17	NN	NN	2.5556373596191406	2.5556374
1	18	.	.	1.2824554443359375	1.2824554
2	0	VBG	VBG	3.6136152744293213	3.6136152744293213
2	1	IN	IN	0.8329145908355713	0.8329146
2	2	NN	NN	2.9915175437927246	2.9915175
2	3	VBZ	VBZ	4.211630821228027	4.211631
2	4	IN	IN	2.3139467239379883	2.3139467
2	5	IN	IN	4.015996932983398	4.015997
2	6	NN	NN	2.4599857330322266	2.4599857
2	7	IN	IN	1.385305404663086	1.3853054
2	8	JJ	JJ	2.5650558471679688	2.5650558
2	9	NNPS	NNPS	5.92015266418457	5.9201527
2	10	,	,	1.0009536743164062	1.0009537
2	11	CC	CC	2.5797252655029297	2.5797253
2	12	DT	DT	0.9096870422363281	0.90968704
2	13	NN	NN	0.8160057067871094	0.8160057
2	14	IN	IN	1.4123268127441406	1.4123268
2	15	JJ	JJ	2.3271446228027344	2.3271446
2	16	NN	NN	0.7973365783691406	0.7973366
2	17	VBZ	VBZ	0.8903846740722656	0.8903847
2	18	JJ	JJ	2.0406837463378906	2.0406837
2	19	NN	NN	2.7067527770996094	2.7067528
2	20	.	.	1.0553855895996094	1.0553856
3	0	JJ	JJ	3.234806537628174	3.234806537628174
3	1	JJ	JJ	2.2010350227355957	2.201035
3	2	JJ	JJ	2.628178596496582	2.6281786
3	3	NNS	NNS	0.5400896072387695	0.5400896
3	4	CC	CC	3.47818660736084	3.4781866
3	5	NNS	NNS	0.8346099853515625	0.83461
3	6	IN	IN	1.6055021286010742	1.6055021
3	7	NNP	NNP	1.8182249069213867	1.8182249
3	8	VBP	VBP	2.0590953826904297	2.0590954
3	9	VBN	VBN	1.2733707427978516	1.2733707
3	10	PRP	PRP	5.281621932983398	5.281622
3	11	.	.	2.6835899353027344	2.68359
4	0	RB	RB	2.952897787094116	2.952897787094116
4	1	JJ	JJ	3.8581526279449463	3.8581526
4	2	NNS	NNS	1.325535774230957	1.3255358
4	3	MD	MD	3.2337121963500977	3.2337122
4	4	VB	VB	0.2371530532836914	0.23715305
4	5	RB	RB	3.1550416946411133	3.1550417
4	6	NNS	NNS	5.888601303100586	5.8886013
4	7	IN	IN	0.7761173248291016	0.7761173
4	8	DT	DT	1.1394481658935547	1.1394482
4	9	NNS	NNS	2.242725372314453	2.2427254
4	10	.	.	1.5415802001953125	1.5415802
5	0	JJ	JJ	3.234806537628174	3.234806537628174
5	1	NN	NN	1.1812920570373535	1.181292
5	2	VBZ	VBZ	2.183063507080078	2.1830635
5	3	CD	CD	3.5245161056518555	3.524516
5	4	IN	IN	1.765334129333496	1.7653341
5	5	PRP	PRP	4.976811408996582	4.9768114
5	6	.	.	1.962860107421875	1.9628601
6	0	NNP	NNP	1.7723426818847656	1.7723426818847656
6	1	VBP	VBP	6.449707984924316	6.449708
6	2	VBN	VBN	2.175243377685547	2.1752434
6	3	VBG	VBG	3.632925033569336	3.632925
6	4	IN	IN	1.286362648010254	1.2863626
6	5	JJ	JJ	2.5172348022460938	2.5172348
6	6	NNS	NNS	0.9662437438964844	0.96624374
6	7	.	.	1.853567123413086	1.8535671
7	0	PRP	PRP	2.4290122985839844	2.4290122985839844
7	1	VBP	VBP	2.8624935150146484	2.8624935
7	2	VBN	VBN	1.9199786186218262	1.9199786
7	3	IN	IN	0.9511876106262207	0.9511876
7	4	NNS	NNS	2.812784194946289	2.8127842
7	5	IN	IN	0.9343538284301758	0.9343538
7	6	JJ	JJ	2.2420034408569336	2.2420034
7	7	NN	NN	0.9927892684936523	0.99278927
7	8	,	,	1.812861442565918	1.8128614
7	9	NN	NN	2.8671493530273438	2.8671494
7	10	NNS	NNS	2.0807323455810547	2.0807323
7	11	,	,	0.5164852142333984	0.5164852
7	12	NN	NN	1.7916107177734375	1.7916107
7	13	NNS	NNS	0.94775390625	0.9477539
7	14	.	.	6.431974411010742	6.4319744
8	0	DT	DT	1.3407655954360962	1.3407655954360962
8	1	JJ	JJ	1.626583456993103	1.6265835
8	2	NNS	NNS	2.3557910919189453	2.355791
